,Team,name,pos_keep,predicted_points
3498,DAL,T.Williams,WR,40.24471664428711
3499,DAL,R.Smith,RB,16.723777770996094
3500,DAL,G.Swaim,TE,12.878661155700684
3501,DAL,E.Elliott,RB,161.0833740234375
3502,DAL,D.Prescott,QB,164.20578002929688
3503,DAL,N.Brown,WR,5.347911834716797
3504,OAK,K.Smith,RB,5.381414890289307
3505,MIA,B.Butler,WR,26.976469039916992
3506,SF,A.Morris,RB,46.211238861083984
3507,PIT,R.Switzer,WR,7.564929485321045
3508,KC,Dam. Williams,RB,17.62293243408203
3509,CLE,J.Landry,WR,76.9631118774414
3510,MIA,K.Stills,WR,59.77889633178711
3511,MIA,S.Perry,RB,5.64651346206665
3512,MIA,D.Parker,WR,49.55477523803711
3513,MIA,A.Derby,TE,17.481571197509766
3514,MIA,J.Grant,WR,26.91082191467285
3515,MIA,L.Carroo,WR,26.018972396850586
3516,MIA,K.Drake,RB,45.669185638427734
3517,OAK,D.Martin,RB,82.2364273071289
3518,TB,R.Fitzpatrick,QB,94.5737533569336
3519,TB,D.Jackson,WR,69.52234649658203
3520,TB,J.Rodgers,RB,39.835208892822266
3521,TB,C.Brate,TE,75.0674057006836
3522,TB,M.Evans,WR,88.62388610839844
3523,TB,J.Winston,QB,93.35647583007812
3524,TB,A.Humphries,WR,48.21225357055664
3525,TB,P.Barber,RB,45.593963623046875
3526,TB,A.Cross,TE,10.206356048583984
3527,TB,A.Auclair,TE,7.993467807769775
3528,TB,B.Wilson,WR,11.804206848144531
3529,TB,O.Howard,TE,75.5593490600586
3530,TB,C.Godwin,WR,44.13597106933594
3531,OAK,M.Bryant,WR,49.18097686767578
3532,PIT,B.Roethlisberger,QB,185.0426025390625
3533,PIT,D.Heyward-Bey,WR,36.03384017944336
3534,PIT,A.Brown,WR,169.3026885986328
3535,PIT,S.Ridley,RB,46.137855529785156
3536,PIT,V.McDonald,TE,26.80058479309082
3537,PIT,J.Hunter,WR,22.983203887939453
3538,PIT,R.Nix,RB,9.788018226623535
3539,PIT,J.James,TE,28.364877700805664
3540,PIT,X.Grimble,TE,9.793221473693848
3541,PIT,E.Rogers,WR,24.997486114501953
3542,PIT,J.Conner,RB,59.44765090942383
3543,PIT,J.Smith-Schuster,WR,90.61625671386719
3544,LAC,A.Gates,TE,82.29583740234375
3545,LAC,P.Rivers,QB,194.97213745117188
3546,LAC,T.Benjamin,WR,62.112091064453125
3547,LAC,K.Allen,WR,117.94461822509766
3548,LAC,M.Gordon,RB,117.6209487915039
3549,LAC,Ty.Williams,WR,82.33032989501953
3550,LAC,D.Watt,RB,8.813836097717285
3551,LAC,M.Williams,WR,28.531755447387695
3552,LAC,A.Ekeler,RB,69.65253448486328
256,ARI,ARI_DST,DST,96.80125323406233
257,ATL,ATL_DST,DST,88.38891674020222
258,BAL,BAL_DST,DST,75.40466867055912
259,BUF,BUF_DST,DST,78.87358943258985
260,CAR,CAR_DST,DST,106.2761827334601
261,CHI,CHI_DST,DST,98.27288552285319
262,CIN,CIN_DST,DST,102.04939633930505
263,CLE,CLE_DST,DST,88.68802706977826
264,DAL,DAL_DST,DST,88.41378184643568
265,DEN,DEN_DST,DST,97.95310300372564
266,DET,DET_DST,DST,97.90681686436967
267,GB,GB_DST,DST,72.51185421281228
268,HOU,HOU_DST,DST,106.09627753078695
269,IND,IND_DST,DST,80.93250518444563
270,JAX,JAX_DST,DST,104.85360967639832
271,KC,KC_DST,DST,97.8356496499463
272,LA,LA_DST,DST,112.10054005564797
273,LAC,LAC_DST,DST,92.3277964315994
274,MIA,MIA_DST,DST,79.43139434260996
275,MIN,MIN_DST,DST,95.38123683425346
