,Team,name,pos_keep,predicted_points
3771,CHI,C.Patterson,WR,15.519541333227757
3772,NE,T.Brady,QB,203.11335540753046
3773,NE,B.Hoyer,QB,42.76414699159833
3774,NE,J.Edelman,WR,99.10152220328612
3775,NE,J.Gordon,WR,83.50619019835756
3776,NE,R.Burkhead,RB,52.156815732992314
3777,NE,J.White,RB,96.798284387709
3778,NE,P.Dorsett,WR,52.25161411592728
3779,NE,S.Michel,RB,109.01671835348287
3780,SEA,J.Hollister,TE,32.31006389801293
3781,MIA,R.Fitzpatrick,QB,113.76676151351967
3782,TEN,A.Humphries,WR,53.14483632251952
3783,PHI,D.Jackson,WR,100.04691769334215
3784,TB,C.Brate,TE,26.892378567525196
3785,TB,M.Evans,WR,93.00210200700937
3786,TB,J.Winston,QB,94.45662335281432
3787,TB,P.Barber,RB,71.42328235719071
3788,TB,A.Auclair,TE,18.692417604120543
3789,TB,B.Wilson,WR,18.208906856422306
3790,TB,O.Howard,TE,55.50412782405354
3791,TB,C.Godwin,WR,70.11115519999083
3792,TB,J.Watson,WR,15.435845577168898
3793,TEN,T.Taylor,WR,27.451762967109612
3794,NO,M.Dayes,RB,36.83954086697682
3795,SF,G.Celek,TE,21.42188027212993
3796,SF,M.Goodwin,WR,34.51077055506865
3797,SF,J.Garoppolo,QB,34.80828731758887
3798,SF,R.Mostert,RB,33.81759966805758
3799,SF,G.Kittle,TE,99.39741432698409
3800,SF,K.Bourne,WR,50.28448184521335
3801,SF,M.Breida,RB,77.2619265283451
3802,SF,C.Beathard,QB,55.57787114857467
3803,SF,N.Mullens,QB,69.73315205988986
3804,SF,R.Dwelley,TE,16.84367057452165
3805,SF,J.Wilson,RB,59.24104587893394
3806,SF,R.James,WR,22.367581231005804
3807,SF,D.Pettis,WR,54.1137043594771
3808,TEN,D.Walker,TE,32.42745181043506
3809,TEN,D.Lewis,RB,68.48137512687501
3810,TEN,M.Pruitt,TE,34.423777463754966
3811,TEN,D.Jennings,WR,30.567158967456262
3812,TEN,M.Mariota,QB,98.86893924857338
3813,TEN,D.Henry,RB,86.95624233294848
3814,TEN,T.Sharpe,WR,49.86293852927771
3815,TEN,D.Fluellen,RB,30.360577923666806
3816,TEN,J.Smith,TE,45.68056405220224
3817,TEN,C.Davis,WR,87.7387083121736
3818,TEN,T.Taylor,WR,55.697405564394785
3819,TEN,C.Batson,WR,32.86406686957281
3820,ATL,L.Stocker,TE,49.52469112694496
3821,TB,B.Gabbert,QB,67.44134162995026
3822,DEN,E.Sanders,WR,69.20223303264781
3823,DEN,J.Heuerman,TE,35.56636398885701
3824,DEN,D.Booker,RB,38.13971038968313
3825,DEN,T.Patrick,WR,47.04865598072834
3826,DEN,J.Butt,TE,29.84638089012659
3827,DEN,R.Cracraft,WR,19.152702037689632
3828,DEN,P.Lindsay,RB,106.64995839877827
3829,DEN,C.Sutton,WR,66.56970274186304
3830,DEN,D.Hamilton,WR,39.36530473270982
3831,DEN,R.Freeman,RB,61.125883174264786
3832,NE,M.LaCosse,TE,35.819078324723925
3833,WAS,C.Keenum,QB,108.34283497842517
3834,BUF,J.Brown,WR,15.4097995261875
3835,CAR,D.Moore,WR,52.028046473821334
3836,CHI,M.Davis,RB,60.47608712985045
3837,SEA,E.Dickson,TE,26.56840452997227
3838,SEA,R.Wilson,QB,136.33094534504875
3839,SEA,T.Lockett,WR,66.50415964390373
3840,SEA,C.Prosise,RB,34.54976983991587
3841,SEA,N.Vannett,TE,38.91304077028103
3842,SEA,J.McKissic,RB,28.826843063011808
3843,SEA,C.Carson,RB,114.26962534539962
3844,SEA,T.Swoopes,TE,29.341229766174266
3845,SEA,W.Dissly,TE,43.618525817466065
3846,SEA,R.Penny,RB,56.44583128550189
3847,SEA,M.Turner,WR,23.80897076582955
3848,BUF,T.Yeldon,RB,57.761522032458934
3849,JAX,J.O'Shaughnessy,TE,38.369495854376325
3850,JAX,K.Cole,WR,58.224045573526
3851,JAX,D.Westbrook,WR,82.32728495609501
3852,JAX,L.Fournette,RB,87.38761906277094
3853,JAX,D.Chark,WR,38.9651324152167
3854,PHI,C.Kessler,QB,53.953891324768115
3855,PIT,D.Moncrief,WR,45.57748975549423
3856,KC,C.Hyde,RB,54.51457991247346
3857,KC,B.Bell,TE,27.37334628440719
3858,KC,D.Williams,RB,27.515645686672077
3859,LA,B.Bortles,QB,83.05174075768977
3860,NO,L.Murray,RB,81.51463587207469
3861,CHI,A.Robinson,WR,39.567911045923694
3862,MIN,K.Rudolph,TE,62.46705269009709
3863,MIN,K.Cousins,QB,144.03882171582293
3864,MIN,A.Thielen,WR,105.78615747853593
3865,MIN,S.Diggs,WR,91.81862606099503
3866,MIN,A.Abdullah,RB,30.97989682767291
3867,MIN,D.Morgan,TE,32.61891849141604
3868,MIN,L.Treadwell,WR,48.44334927929322
3869,MIN,C.Ham,RB,34.969945696713545
3870,MIN,D.Cook,RB,107.78691978673584
3871,MIN,B.Zylstra,WR,30.88345346729539
3872,MIN,M.Boone,RB,33.89521673249976
3873,MIN,R.Thomas,RB,34.69666859885501
3874,MIN,T.Conklin,TE,39.15518850852267
3875,MIN,C.Beebe,WR,37.54365917602264
3876,BAL,T.Ervin,RB,39.37357562007121
3877,HOU,J.Webb,QB,21.928473902568516
3878,HOU,L.Miller,RB,69.36929505095745
3879,HOU,D.Hopkins,WR,103.15601274427632
3880,HOU,W.Fuller,WR,58.15995795394032
3881,HOU,D.Watson,QB,159.73933559248061
3882,HOU,D.Foreman,RB,37.777795881618424
3883,HOU,D.Carter,WR,36.55602054988689
3884,HOU,J.Akins,TE,38.836205566400466
3885,HOU,K.Coutee,WR,54.16652383839647
3886,HOU,J.Thomas,TE,40.509956697924466
3887,HOU,V.Smith,WR,37.617360314599665
3888,JAX,A.Blue,RB,61.16296870545483
3889,BAL,M.Floyd,WR,40.05151644365786
3890,NYJ,J.Crowder,WR,50.8183296038204
3891,NE,M.Harris,WR,56.56829850394165
3892,WAS,A.Smith,QB,117.34029878260336
3893,WAS,V.Davis,TE,47.08798316851023
3894,WAS,A.Peterson,RB,152.86896976229227
3895,WAS,C.McCoy,QB,45.85644672561271
3896,WAS,B.Quick,WR,25.60308697416005
3897,WAS,C.Thompson,RB,47.508669476202655
